0, Secretariat, John Smith, 5, Thoroughbred, 10, 20, A, file:/C:/Users/Dilakshan Rahul/Documents/RGU/CM1601/Java/Report/RapidRace/RapidRace/Image/horse1.jpg
1, Black Beauty, Emily Johnson, 4, Arabian, 5, 10, B, file:/C:/Users/Dilakshan Rahul/Documents/RGU/CM1601/Java/Report/RapidRace/RapidRace/Image/horse2.jpg
2, Thunderbolt, Michael Roberts, 6, Quarter Horse, 8, 15, C, file:/C:/Users/Dilakshan Rahul/Documents/RGU/CM1601/Java/Report/RapidRace/RapidRace/Image/horse3.jpg
3, Spirit, Sarah Thompson, 3, Mustang, 3, 8, D, file:/C:/Users/Dilakshan Rahul/Documents/RGU/CM1601/Java/Report/RapidRace/RapidRace/Image/horse4.jpg
4, Lightning, David Wilson, 5, Appaloosa, 6, 12, A, file:/C:/Users/Dilakshan Rahul/Documents/RGU/CM1601/Java/Report/RapidRace/RapidRace/Image/horse5.jpg
5, Midnight, Laura Anderson, 4, Tennessee Walking Horse, 7, 14, B, file:/C:/Users/Dilakshan Rahul/Documents/RGU/CM1601/Java/Report/RapidRace/RapidRace/Image/horse3.jpg
6, Blaze, Matthew Brown, 5, Paint Horse, 9, 18, C, file:/C:/Users/Dilakshan Rahul/Documents/RGU/CM1601/Java/Report/RapidRace/RapidRace/Image/horse2.jpg
7, Shadow, Samantha White, 6, Andalusian, 4, 10, D, file:/C:/Users/Dilakshan Rahul/Documents/RGU/CM1601/Java/Report/RapidRace/RapidRace/Image/horse1.jpg
8, Storm, Daniel Martinez, 3, Friesian, 2, 5, A, file:/C:/Users/Dilakshan Rahul/Documents/RGU/CM1601/Java/Report/RapidRace/RapidRace/Image/horse4.jpg
9, Whisper, Olivia Taylor, 4, Welsh Pony, 4, 9, B, file:/C:/Users/Dilakshan Rahul/Documents/RGU/CM1601/Java/Report/RapidRace/RapidRace/Image/horse5.jpg
10, Duke, Emma Roberts, 6, Belgian Draft Horse, 7, 13, C, file:/C:/Users/Dilakshan Rahul/Documents/RGU/CM1601/Java/Report/RapidRace/RapidRace/Image/horse3.jpg
12, Spirit, Madison Lee, 4, Morgan Horse, 5, 11, A, file:/C:/Users/Dilakshan Rahul/Documents/RGU/CM1601/Java/Report/RapidRace/RapidRace/Image/horse2.jpg
13, Sunny, Ethan Harris, 3, Palomino, 2, 6, B, file:/C:/Users/Dilakshan Rahul/Documents/RGU/CM1601/Java/Report/RapidRace/RapidRace/Image/horse4.jpg
14, Breeze, Lily Martin, 6, Haflinger, 8, 16, C, file:/C:/Users/Dilakshan Rahul/Documents/RGU/CM1601/Java/Report/RapidRace/RapidRace/Image/horse1.jpg
15, Thunder, Chloe Thompson, 5, Clydesdale, 6, 12, D, file:/C:/Users/Dilakshan Rahul/Documents/RGU/CM1601/Java/Report/RapidRace/RapidRace/Image/horse5.jpg
16, Luna, Noah Young, 4, Icelandic Horse, 3, 8, A, file:/C:/Users/Dilakshan Rahul/Documents/RGU/CM1601/Java/Report/RapidRace/RapidRace/Image/horse1.jpg
17, Starlight, Ava Brown, 3, Gypsy Vanner, 4, 9, B, file:/C:/Users/Dilakshan Rahul/Documents/RGU/CM1601/Java/Report/RapidRace/RapidRace/Image/horse1.jpg
18, Rocky, Mason Martinez, 6, Rocky Mountain Horse, 7, 14, C, file:/C:/Users/Dilakshan Rahul/Documents/RGU/CM1601/Java/Report/RapidRace/RapidRace/Image/horse2.jpg
19, Blaze, Sofia Wilson, 5, Mustang, 5, 10, D, file:/C:/Users/Dilakshan Rahul/Documents/RGU/CM1601/Java/Report/RapidRace/RapidRace/Image/horse2.jpg
200, Nightmare, Xerxes von Doom, 6, Shadow Walker, 10, 20, A, file:/C:/Users/Dilakshan Rahul/Documents/RGU/CM1601/Java/Report/RapidRace/RapidRace/Image/horse5.jpg
201, Chaos, Morgana Blackwood, 4, Hellsteed, 7, 15, B, file:/C:/Users/Dilakshan Rahul/Documents/RGU/CM1601/Java/Report/RapidRace/RapidRace/Image/horse4.jpg
202, Nebula, Zephyr Stardust, 3, Cosmic Runner, 5, 12, C, file:/C:/Users/Dilakshan Rahul/Documents/RGU/CM1601/Java/Report/RapidRace/RapidRace/Image/horse3.jpg
203, Eclipsia, Lilith Darkmoon, 5, Night Mare, 8, 18, D, file:/C:/Users/Dilakshan Rahul/Documents/RGU/CM1601/Java/Report/RapidRace/RapidRace/Image/horse2.jpg
204, Maelstrom, Thalassa Deepwater, 6, Leviathan Charger, 7, 14, D, file:/C:/Users/Dilakshan Rahul/Documents/RGU/CM1601/Java/Report/RapidRace/RapidRace/Image/horse1.jpg
